Month,Marketing,Human Resources,Infrastructure,Profits
Jan2007,12572434,3689985,2734912,11943122
Feb2007,16317273,4132876,3287753,16574732
Mar2007,10983421,2754645,3998643,9587657
Apr2007,18819821,6434233,4225384,17644321
May2007,20098091,4598076,4554398,23656672
Jun2007,17628433,2984637,5332395,18809831
Jul2007,21128221,3409874,5097423,24332876
Aug2007,22936554,4229086,3498567,25665800
Sep2007,12314323,4576654,3880563,14337627
Oct2007,9043654,5998754,3829746,10007682
Nov2007,14478327,4388765,4917023,17790904
Dec2007,24309887,4008765,5974085,34876676
Jan2008,19084327,7644534,6177293,22434876
Feb2008,18785443,8181976,5492701,20809870
Mar2008,18797865,5483743,4381083,21090064
Apr2008,19904324,7443221,5429312,20042765
May2008,9987654,7648736,4332452,12223109
Jun2008,14237657,6392212,3092093,17554540
Jul2008,13218765,4007654,4901394,16678980
Aug2008,19765332,2987764,5302804,25333768
Sep2008,25658745,3220756,3871033,32248710
Oct2008,21109874,4098653,5482947,26642312
Nov2008,23439877,6443873,5284352,28878735
Dec2008,20000435,8733421,6372912,26767688
